model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,5.267874240875244,10000,-61.69818530473346,51.0,0.0,2.233013398110137,,,,,,
qlearning,51,3.326014757156372,10000,14.516926015602886,51.0,0.0,0.8362918152676381,0.8139177239523261,1452.0,,,,
traditional,51,254.90128111839294,10000,22.788192918913733,,,,,,11.0,3.0,,
emergence,51,9.248820304870605,10000,86.85484859010764,,,,,,471.0,0.0,0.0,0.0
random,71,6.1345438957214355,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,2.9897937774658203,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,61.7157142162323,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,13.262909412384033,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,9.376238107681274,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,4.304198741912842,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,84.7378613948822,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,15.092467546463013,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,12.773623704910278,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,5.057035684585571,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,133.5590693950653,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,22.345032453536987,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
