model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,5.810290575027466,10000,-58.65705851389043,51.0,0.0,2.209313564783472,,,,,,
qlearning,51,2.538012742996216,10000,13.605409521319316,51.0,0.0,0.8700867846737471,0.8139177239523261,1452.0,,,,
traditional,51,39.0273859500885,10000,20.89215253233281,,,,,,7.0,8.0,,
emergence,51,14.425981521606445,10000,88.08699855456155,,,,,,466.0,0.0,0.0,0.0
random,71,6.108573913574219,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,4.289072036743164,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,320.0226857662201,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,24.74998688697815,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,10.33399248123169,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,4.809001684188843,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,88.33970475196838,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,17.982603311538696,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,14.841141939163208,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,5.459134340286255,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,136.7922661304474,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,21.908588647842407,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
