model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,5.208247661590576,10000,-61.69818530473346,51.0,0.0,2.233013398110137,,,,,,
qlearning,51,2.918260335922241,10000,14.516926015602886,51.0,0.0,0.8362918152676381,0.8139177239523261,1452.0,,,,
traditional,51,39.29110598564148,10000,22.788192918913733,,,,,,11.0,3.0,,
emergence,51,8.71089482307434,10000,86.85484859010764,,,,,,471.0,0.0,0.0,0.0
random,71,6.104058504104614,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,3.2460529804229736,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,59.068684101104736,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,11.74909782409668,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,9.709676265716553,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,4.163592576980591,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,80.01703667640686,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,15.575131177902222,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,35.277573347091675,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,28.66354250907898,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,198.85460233688354,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,21.525527238845825,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
