model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,8.214672088623047,10000,-61.69818530473346,51.0,0.0,2.233013398110137,,,,,,
qlearning,51,2.4318642616271973,10000,14.516926015602886,51.0,0.0,0.8362918152676381,0.8139177239523261,1452.0,,,,
traditional,51,38.75497579574585,10000,22.788192918913733,,,,,,11.0,3.0,,
emergence,51,8.860454559326172,10000,86.85484859010764,,,,,,471.0,0.0,0.0,0.0
random,71,6.062902450561523,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,3.400768995285034,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,59.80592727661133,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,11.127748250961304,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,9.126784801483154,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,3.8651769161224365,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,81.2742075920105,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,15.253882646560669,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,16.45371699333191,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,6.427259683609009,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,132.06258726119995,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,20.915563106536865,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
