iteration,energy
0,1.6208640620793708
1,1.6201427181921886
2,1.6193650025849071
3,1.6190656889471873
4,1.6186380554049609
5,1.6185227913046922
6,1.6182499622984254
7,1.6180883687442627
8,1.6174178226386224
9,1.6169353920208964
10,1.6166283642679868
11,1.61589047431182
12,1.6155151385911397
13,1.6153558950817395
14,1.6150971663440492
15,1.614829037427308
16,1.6145694541278859
17,1.6140020115734246
18,1.6137139632296464
19,1.6135751986817504
20,1.6134146495919264
21,1.6132900396842729
22,1.6131512751363768
23,1.6127327806571166
24,1.611926047253248
25,1.611330702580016
26,1.6112107383902219
27,1.6111072245137672
28,1.6107861263341194
29,1.610508597238327
30,1.6101856000326085
31,1.6097141713150593
32,1.609575406767163
33,1.609414857677339
34,1.609137328581547
35,1.6086777269700876
36,1.6082262199572557
37,1.6079867392052414
38,1.6078251456510784
39,1.6075655623516563
40,1.6072434197076695
41,1.6065163714376827
42,1.6062277635594375
43,1.6057877863477505
44,1.60546929932895
45,1.605308750239126
46,1.6048450894594402
47,1.604223633177733
48,1.6034442389670498
49,1.6031566755531435
50,1.602787199684339
51,1.6025529682773363
52,1.602391374723173
53,1.6019600855557605
54,1.6016607719180405
55,1.6009889236230945
56,1.6008283745332708
57,1.6005905350823604
58,1.6002901769803015
59,1.5999733685649031
60,1.5997079636119087
61,1.599548505568761
62,1.5989412560280558
63,1.5987796624738928
64,1.5985028048194612
65,1.5982034911817413
66,1.5979586387685105
67,1.5978337484169913
68,1.5972577367848593
69,1.597137772595065
70,1.5969746123443933
71,1.5965186355885324
72,1.5962441279788637
73,1.595782366225249
74,1.5955112158223843
75,1.59535066673256
76,1.5950456156294337
77,1.5946565315418224
78,1.5943333444334964
79,1.5939309165540585
80,1.5933312448142796
81,1.5931960983965114
82,1.5926445666953908
83,1.5923196704636013
84,1.5919956287935437
85,1.5918777535324276
86,1.591651899062305
87,1.5913506863985138
88,1.5910731573027215
89,1.5909746792364725
90,1.5905478663447985
91,1.5903191367228027
92,1.5900384742339932
93,1.589650239796286
94,1.589326198126228
95,1.5889126237552027
96,1.5886218557348017
97,1.588500182421544
98,1.5883526891359576
99,1.5882609254833167
100,1.5879531133643978
101,1.5877231243645733
102,1.5874022873010103
103,1.5870069609398154
104,1.5867294318440233
105,1.5865678382898603
106,1.5860187342671292
107,1.5857126389779355
108,1.5854174285929759
109,1.5852549804770812
110,1.585004745092128
111,1.584550567432686
112,1.5842781114493976
113,1.5841550138665863
114,1.583870786498207
115,1.583243656493439
116,1.583081208377544
117,1.582810108239
118,1.582530639423721
119,1.5823681913078262
120,1.582044481967331
121,1.5818902862932676
122,1.5811542000503547
123,1.5810154355024586
124,1.580852275251787
125,1.5805644280502007
126,1.580402834496038
127,1.57987384976261
128,1.5797114016467149
129,1.579603971028989
130,1.5793281578388965
131,1.5791741728931281
132,1.5783967251841675
133,1.5779719449592688
134,1.5778103514051058
135,1.5776511078957056
136,1.5773279207873798
137,1.5771663272332168
138,1.576656031799018
139,1.5763499435335209
140,1.5759336498898324
141,1.5754183094560097
142,1.5752912951319273
143,1.5745821818414578
144,1.5744216327516336
145,1.5742600391974708
146,1.5741007956880708
147,1.5736838679053191
148,1.5734063388095267
149,1.5731426544754725
150,1.5724493900896497
151,1.5722363625618396
152,1.5718188024802902
153,1.571254043755605
154,1.5709903911146024
155,1.5707004776559332
156,1.5704308034711845
157,1.5701523791202445
158,1.5697426107823678
159,1.56941856911231
160,1.56925932560291
161,1.569111023399302
162,1.5685126357625978
163,1.5681864248204516
164,1.5680562058898744
165,1.5678946123357111
166,1.5673697155947695
167,1.5672104720853692
168,1.566567943396511
169,1.5661546712389462
170,1.5655752953403
171,1.5652820625028598
172,1.5651215134130358
173,1.5646953858967394
174,1.5642626419397117
175,1.5635259702812376
176,1.563382647478015
177,1.563221053923852
178,1.5629539694714498
179,1.5628360942103336
180,1.5626053389056762
181,1.5622986781260075
182,1.5620144634385147
183,1.5619096570572337
184,1.5617663004494526
185,1.5611709987255533
186,1.5610134338195552
187,1.560450840563811
188,1.5602892470096477
189,1.5600291753892361
190,1.5597545423426027
191,1.559613771233562
192,1.5594750066856657
193,1.5591552140864418
194,1.5585919968026678
195,1.5579499987825496
196,1.557394656683288
197,1.557255892135392
198,1.5567768560267676
199,1.5566380914788716
200,1.5563605623830792
201,1.556134369081127
202,1.5556529829277397
203,1.5555142183798436
204,1.5552321268303744
205,1.5550888055803234
206,1.5549282564904996
207,1.5542183595283885
208,1.553592250632808
209,1.5532090533942937
210,1.5525234337141645
211,1.5522552107048475
212,1.5520936171506847
213,1.5519548526027884
214,1.5518299636707094
215,1.5512070593816234
216,1.5509434386925283
217,1.5504126205942483
218,1.550273856046352
219,1.5500130933632952
220,1.549855528457297
221,1.5494636921468576
222,1.5493044486374574
223,1.5487302402086407
224,1.548012675401639
225,1.5478833110327936
226,1.547648082742731
227,1.547398280840821
228,1.5470215754707497
229,1.546699432826763
230,1.5464230202848723
231,1.5462095252143995
232,1.5459413962976583
233,1.5458122126923584
234,1.5455346835965662
235,1.5453959190486697
236,1.545234325494507
237,1.5449970084179703
238,1.544777975067065
239,1.544469220037271
240,1.5443513638179234
241,1.5442447576680711
242,1.5440394334819978
243,1.543450922190841
244,1.5433054448878611
245,1.5428292624163695
246,1.5427043049669698
247,1.5425655404190737
248,1.542440571876891
249,1.5422972477433903
250,1.5417268029789521
251,1.5416079332547066
252,1.5415024160313515
253,1.5413408224771885
254,1.5410639648227569
255,1.540925200274861
256,1.5408079885480142
257,1.5403797615601407
258,1.5400757635584652
259,1.5399141700043024
260,1.5396062550383407
261,1.5393347161451019
262,1.539084781864658
263,1.5384266574241925
264,1.5379276107505737
265,1.5375083329230597
266,1.5369469794732569
267,1.5366401237690168
268,1.5364795746791928
269,1.5360838587844663
270,1.5359588558863702
271,1.5354286249580351
272,1.5352840309193274
273,1.534913541877807
274,1.5346882278159968
275,1.5341105094601581
276,1.5338427233876741
277,1.5337177155706139
278,1.5335545553199421
279,1.5332313682116163
280,1.5330926036637202
281,1.532964147331028
282,1.5326786765843898
283,1.532572559317376
284,1.532428053063646
285,1.5322971219982924
286,1.5320063957607692
287,1.5318595302770526
