iteration,energy
0,1.6565735472614174
1,1.656477079626488
2,1.6561928766499772
3,1.6560067550792406
4,1.6559096598667604
5,1.6558262817064595
6,1.6556659804692353
7,1.6555896625563786
8,1.655323704155805
9,1.6551295137308453
10,1.654961591909077
11,1.6548651423308256
12,1.6547720815454572
13,1.6547028238800454
14,1.6545177333295704
15,1.6542601575719946
16,1.6540964494852095
17,1.6540130713249084
18,1.653851963202262
19,1.6534948491624555
20,1.6531355610147058
21,1.6528715216596512
22,1.6527784608742828
23,1.6526111666300654
24,1.6525135579450443
25,1.6524170903101152
26,1.65225338222333
27,1.6521603214379617
28,1.6519948202724604
29,1.6519017594870917
30,1.6517283463617556
31,1.6516451332992723
32,1.6515050490245728
33,1.651409365861582
34,1.6509630461556468
35,1.650867362992656
36,1.6504871651019686
37,1.650390069889489
38,1.6500195138720795
39,1.6499108533018807
40,1.649546499706758
41,1.649453766140099
42,1.649024258584717
43,1.6489271633722373
44,1.64873166951698
45,1.6484453168835995
46,1.6483488492486706
47,1.6479958702928943
48,1.6478994026579652
49,1.6477058398105557
50,1.6475358559482645
51,1.647439279014354
52,1.647272769242075
53,1.6470214692600056
54,1.6468301029340238
55,1.6467467247737226
56,1.6463837832280888
57,1.6462861745430677
58,1.6462153479337795
59,1.646020130563737
60,1.645658486284967
61,1.6454690823279379
62,1.645105356310366
63,1.64494487576527
64,1.6447657001148253
65,1.644395184849205
66,1.6443118066889038
67,1.6438482306379152
68,1.6434856701215086
69,1.6432995485507713
70,1.643226439841299
71,1.6431406671128392
72,1.6429858347656991
73,1.6427922719182901
74,1.6427054869084285
75,1.6423332437669544
76,1.642003586244989
77,1.641905977559968
78,1.6417295386142985
79,1.6415481238751912
80,1.64146474571489
81,1.6413100016689148
82,1.6412406091407612
83,1.6410607633455307
84,1.640963668133051
85,1.6407375833204279
86,1.6406542051601265
87,1.6404848264619016
88,1.6402058030377733
89,1.6399283485575218
90,1.639799919294477
91,1.6397039962732012
92,1.639610935487833
93,1.6393197639554027
94,1.6389778686711998
95,1.638900766286405
96,1.6387202929136238
97,1.6386328803262111
98,1.6384570282063031
99,1.6382775856000071
100,1.6380874296021586
101,1.6379187634990107
102,1.637565885607671
103,1.6373906377069993
104,1.6371942024854163
105,1.6368684449096587
106,1.6367850667493575
107,1.6365458700486226
108,1.6363143407940444
109,1.6361435680979306
110,1.6360471004630015
111,1.6359564357593444
112,1.635692584226262
113,1.635594547647456
114,1.6351369315456092
115,1.6349433686982
116,1.6347680300508336
117,1.6346092255314137
118,1.6344287521586325
119,1.6340583738190233
120,1.633777982864194
121,1.633687801437848
122,1.633590192752827
123,1.633400664332529
124,1.633209994862139
125,1.6329308125060338
126,1.6328327759272279
127,1.6327493977669267
128,1.6325644425474788
129,1.632290394916788
130,1.6322070167564866
131,1.6321269757620402
132,1.631956857418845
133,1.631699445305852
134,1.6313465674145124
135,1.6311737339555732
136,1.6310177605583411
137,1.6308248252884827
138,1.6307477229036882
139,1.6305723842563216
140,1.630395945310652
141,1.6303067128474678
142,1.6302096176349878
143,1.6298521918439954
144,1.6297591310586272
145,1.6295910299129674
146,1.6294934212279462
147,1.629321810380299
148,1.6291546722472774
149,1.629078354334421
150,1.6289818866994918
151,1.6288931126754451
152,1.6287035842551474
153,1.6285575882085335
154,1.6284619050455427
155,1.6283898232811531
